Category,Movie,Show
Action & Adventure,113.51571594877765,2.3988095238095237
Comedies,103.8763440860215,2.1514629948364887
Dramas,113.0510918829831,1.8505897771952817
Horror,98.4453781512605,2.1066666666666665
Sci-Fi & Fantasy,106.01646090534979,2.6547619047619047
Thrillers,107.16637781629116,2.0526315789473686
